angle,radius,which
10,30,1
10,57,2
10,85,3
10,113,4
10,140,5
17,30,6
17,57,7
17,85,8
17,113,9
17,140,10
25,30,11
25,57,12
25,85,13
25,113,14
25,140,15
33,30,16
33,57,17
33,85,18
33,113,19
33,140,20
40,30,21
40,57,22
40,85,23
40,113,24
40,140,25
