"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"null","null","clear_screen","canvas-keyboard-response","26","165731","0.0-11.0-1.7","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","300","113","140","40","40","",""
"3586","3","rating","canvas-keyboard-response","27","169327","0.0-11.0-0.8","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","143","57","30","17","40","0",""
"null","null","clear_screen","canvas-keyboard-response","28","169586","0.0-11.0-1.8","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","143","57","30","17","40","",""
"2612","9","rating","canvas-keyboard-response","29","172207","0.0-11.0-0.9","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","94","140","113","10","17","0",""
"null","null","clear_screen","canvas-keyboard-response","30","172466","0.0-11.0-1.9","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","94","140","113","10","17","",""
"1854","8","rating","canvas-keyboard-response","31","174337","0.0-11.0-0.10","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","228","85","113","25","33","1",""
"null","null","clear_screen","canvas-keyboard-response","32","174595","0.0-11.0-1.10","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","228","85","113","25","33","",""
"6938","3","rating","canvas-keyboard-response","33","181543","0.0-11.0-0.11","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","3","30","113","10","10","1",""
"null","null","clear_screen","canvas-keyboard-response","34","181801","0.0-11.0-1.11","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","3","30","113","10","10","",""
"8157","3","rating","canvas-keyboard-response","35","189967","0.0-11.0-0.12","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","125","30","30","17","40","0",""
