"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"2710","{""response"":""118""}","enter-sub-number","survey-html-form","0","2720","0.0-0.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","","","","","","",""
"","","","fullscreen","1","4486","0.0-1.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","true","","","","","","","","","","","","",""
"","","","preload","2","4501","0.0-2.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","true","false","[]","[]","[]","","","","","","","","",""
"65999","0","","html-button-response","3","70502","0.0-3.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"64490","","","instructions","4","134999","0.0-4.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","[{""page_index"":0,""viewing_time"":37073},{""page_index"":1,""viewing_time"":11784},{""page_index"":2,""viewing_time"":15633}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","151012","0.0-5.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","151777","0.0-6.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","","","","","","",""
"3442","","","instructions","7","155221","0.0-7.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","[{""page_index"":0,""viewing_time"":3442}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","171235","0.0-8.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","171994","0.0-9.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","","","","","","",""
"14353","","","instructions","10","186350","0.0-10.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","[{""page_index"":0,""viewing_time"":6608},{""page_index"":1,""viewing_time"":7743}]","","","","","","",""
"12113","6","rating","canvas-keyboard-response","11","199477","0.0-11.0-0.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","217","57","140","25","33","0",""
"null","null","clear_screen","canvas-keyboard-response","12","199737","0.0-11.0-1.0","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","217","57","140","25","33","",""
"10030","5","rating","canvas-keyboard-response","13","209782","0.0-11.0-0.1","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","39","57","57","10","33","1",""
"null","null","clear_screen","canvas-keyboard-response","14","210042","0.0-11.0-1.1","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","39","57","57","10","33","",""
"9579","9","rating","canvas-keyboard-response","15","219639","0.0-11.0-0.2","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","107","140","57","10","40","1",""
"null","null","clear_screen","canvas-keyboard-response","16","219901","0.0-11.0-1.2","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","107","140","57","10","40","",""
"6220","1","rating","canvas-keyboard-response","17","226134","0.0-11.0-0.3","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","186","140","30","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","18","226396","0.0-11.0-1.3","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","186","140","30","17","33","",""
"10861","4","rating","canvas-keyboard-response","19","237270","0.0-11.0-0.4","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","228","85","113","25","33","0",""
"null","null","clear_screen","canvas-keyboard-response","20","237528","0.0-11.0-1.4","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","228","85","113","25","33","",""
"2262","1","rating","canvas-keyboard-response","21","239806","0.0-11.0-0.5","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","286","140","30","33","40","1",""
"null","null","clear_screen","canvas-keyboard-response","22","240064","0.0-11.0-1.5","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","286","140","30","33","40","",""
"5133","6","rating","canvas-keyboard-response","23","245213","0.0-11.0-0.6","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","273","85","113","33","33","0",""
"null","null","clear_screen","canvas-keyboard-response","24","245472","0.0-11.0-1.6","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","273","85","113","33","33","",""
"5748","4","rating","canvas-keyboard-response","25","251231","0.0-11.0-0.7","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","265","57","85","33","33","0",""
"null","null","clear_screen","canvas-keyboard-response","26","251490","0.0-11.0-1.7","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","265","57","85","33","33","",""
"15009","1","rating","canvas-keyboard-response","27","266510","0.0-11.0-0.8","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","69","85","140","10","40","0",""
"null","null","clear_screen","canvas-keyboard-response","28","266770","0.0-11.0-1.8","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","69","85","140","10","40","",""
"4344","2","rating","canvas-keyboard-response","29","271126","0.0-11.0-0.9","118","2022-4-7","9:37:5","1","20","[""White""]","No","Female","1245960","","","","","","","","253","140","85","25","40","1",""
