"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"30622","{""response"":""114""}","enter-sub-number","survey-html-form","0","30636","0.0-0.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","","","","","","",""
"","","","fullscreen","1","32476","0.0-1.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","true","","","","","","","","","","","","",""
"","","","preload","2","32502","0.0-2.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","true","false","[]","[]","[]","","","","","","","","",""
"3120567","0","","html-button-response","3","3153072","0.0-3.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"16187","","","instructions","4","3169263","0.0-4.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","[{""page_index"":0,""viewing_time"":8802},{""page_index"":1,""viewing_time"":2249},{""page_index"":2,""viewing_time"":5135}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","3185277","0.0-5.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","3186038","0.0-6.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","","","","","","",""
"1912","","","instructions","7","3187951","0.0-7.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","[{""page_index"":0,""viewing_time"":1912}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","3203962","0.0-8.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","3204721","0.0-9.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","","","","","","",""
"5612","","","instructions","10","3210334","0.0-10.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","[{""page_index"":0,""viewing_time"":2115},{""page_index"":1,""viewing_time"":3497}]","","","","","","",""
"4706","4","rating","canvas-keyboard-response","11","3216055","0.0-11.0-0.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","118","30","113","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","12","3216314","0.0-11.0-1.0","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","118","30","113","17","25","",""
"3523","4","rating","canvas-keyboard-response","13","3219847","0.0-11.0-0.1","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","58","85","113","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","14","3220106","0.0-11.0-1.1","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","58","85","113","10","25","",""
"3074","3","rating","canvas-keyboard-response","15","3223192","0.0-11.0-0.2","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","206","30","57","25","40","0",""
"null","null","clear_screen","canvas-keyboard-response","16","3223453","0.0-11.0-1.2","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","206","30","57","25","40","",""
"3741","3","rating","canvas-keyboard-response","17","3227207","0.0-11.0-0.3","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","199","30","140","25","25","0",""
"null","null","clear_screen","canvas-keyboard-response","18","3227466","0.0-11.0-1.3","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","199","30","140","25","25","",""
"1985","2","rating","canvas-keyboard-response","19","3229463","0.0-11.0-0.4","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","97","140","57","10","25","0",""
"null","null","clear_screen","canvas-keyboard-response","20","3229722","0.0-11.0-1.4","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","97","140","57","10","25","",""
"2099","8","rating","canvas-keyboard-response","21","3231830","0.0-11.0-0.5","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","115","30","30","17","25","1",""
"null","null","clear_screen","canvas-keyboard-response","22","3232089","0.0-11.0-1.5","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","115","30","30","17","25","",""
"1644","5","rating","canvas-keyboard-response","23","3233743","0.0-11.0-0.6","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","217","57","140","25","33","1",""
"null","null","clear_screen","canvas-keyboard-response","24","3234001","0.0-11.0-1.6","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","217","57","140","25","33","",""
"4059","7","rating","canvas-keyboard-response","25","3238071","0.0-11.0-0.7","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","11","30","57","10","25","0",""
"null","null","clear_screen","canvas-keyboard-response","26","3238330","0.0-11.0-1.7","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","11","30","57","10","25","",""
"3650","4","rating","canvas-keyboard-response","27","3241990","0.0-11.0-0.8","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","106","140","30","10","40","1",""
"null","null","clear_screen","canvas-keyboard-response","28","3242250","0.0-11.0-1.8","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","106","140","30","10","40","",""
"2611","5","rating","canvas-keyboard-response","29","3244870","0.0-11.0-0.9","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","146","57","113","17","40","0",""
"null","null","clear_screen","canvas-keyboard-response","30","3245134","0.0-11.0-1.9","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","146","57","113","17","40","",""
"3309","6","rating","canvas-keyboard-response","31","3248454","0.0-11.0-0.10","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","162","85","85","17","40","1",""
"null","null","clear_screen","canvas-keyboard-response","32","3248713","0.0-11.0-1.10","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","162","85","85","17","40","",""
"1738","6","rating","canvas-keyboard-response","33","3250462","0.0-11.0-0.11","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","52","85","85","10","17","1",""
"null","null","clear_screen","canvas-keyboard-response","34","3250720","0.0-11.0-1.11","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","52","85","85","10","17","",""
"1610","2","rating","canvas-keyboard-response","35","3252342","0.0-11.0-0.12","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","37","57","140","10","25","0",""
"null","null","clear_screen","canvas-keyboard-response","36","3252599","0.0-11.0-1.12","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","37","57","140","10","25","",""
"4220","6","rating","canvas-keyboard-response","37","3256830","0.0-11.0-0.13","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","170","113","140","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","38","3257088","0.0-11.0-1.13","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","170","113","140","17","25","",""
"3068","5","rating","canvas-keyboard-response","39","3260166","0.0-11.0-0.14","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","184","140","113","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","40","3260424","0.0-11.0-1.14","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","184","140","113","17","25","",""
"3165","7","rating","canvas-keyboard-response","41","3263598","0.0-11.0-0.15","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","291","30","57","40","40","0",""
"null","null","clear_screen","canvas-keyboard-response","42","3263856","0.0-11.0-1.15","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","291","30","57","40","40","",""
"3988","6","rating","canvas-keyboard-response","43","3267855","0.0-11.0-0.16","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","193","140","85","17","40","1",""
"null","null","clear_screen","canvas-keyboard-response","44","3268113","0.0-11.0-1.16","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","193","140","85","17","40","",""
"3459","7","rating","canvas-keyboard-response","45","3271582","0.0-11.0-0.17","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","177","113","57","17","40","0",""
"null","null","clear_screen","canvas-keyboard-response","46","3271840","0.0-11.0-1.17","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","177","113","57","17","40","",""
"2559","5","rating","canvas-keyboard-response","47","3274414","0.0-11.0-0.18","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","156","85","57","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","48","3274672","0.0-11.0-1.18","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","156","85","57","17","33","",""
"3355","6","rating","canvas-keyboard-response","49","3278039","0.0-11.0-0.19","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","80","113","140","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","50","3278296","0.0-11.0-1.19","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","80","113","140","10","25","",""
"1916","6","rating","canvas-keyboard-response","51","3280223","0.0-11.0-0.20","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","36","57","113","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","52","3280484","0.0-11.0-1.20","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","36","57","113","10","25","",""
"2415","8","rating","canvas-keyboard-response","53","3282911","0.0-11.0-0.21","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","167","113","57","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","54","3283170","0.0-11.0-1.21","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","167","113","57","17","25","",""
"2793","5","rating","canvas-keyboard-response","55","3285974","0.0-11.0-0.22","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","83","113","85","10","33","1",""
"null","null","clear_screen","canvas-keyboard-response","56","3286233","0.0-11.0-1.22","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","83","113","85","10","33","",""
"4185","4","rating","canvas-keyboard-response","57","3290430","0.0-11.0-0.23","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","99","140","113","10","25","0",""
"null","null","clear_screen","canvas-keyboard-response","58","3290689","0.0-11.0-1.23","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","99","140","113","10","25","",""
"3954","5","rating","canvas-keyboard-response","59","3294654","0.0-11.0-0.24","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","215","57","85","25","33","0",""
"null","null","clear_screen","canvas-keyboard-response","60","3294912","0.0-11.0-1.24","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","215","57","85","25","33","",""
"2467","3","rating","canvas-keyboard-response","61","3297390","0.0-11.0-0.25","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","14","30","140","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","62","3297650","0.0-11.0-1.25","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","14","30","140","10","25","",""
"3009","5","rating","canvas-keyboard-response","63","3300670","0.0-11.0-0.26","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","274","85","140","33","33","1",""
"null","null","clear_screen","canvas-keyboard-response","64","3300929","0.0-11.0-1.26","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","274","85","140","33","33","",""
"3379","4","rating","canvas-keyboard-response","65","3304318","0.0-11.0-0.27","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","244","113","113","25","40","1",""
"null","null","clear_screen","canvas-keyboard-response","66","3304577","0.0-11.0-1.27","114","2022-3-30","13:41:2","0","19","[""Black or African-American""]","No","Male","3898167","","","","","","","","244","113","113","25","40","",""
