"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"25997","{""response"":""103""}","enter-sub-number","survey-html-form","0","26035","0.0-0.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","","","","","","",""
"","","","fullscreen","1","28104","0.0-1.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","true","","","","","","","","","","","","",""
"","","","preload","2","28154","0.0-2.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","true","false","[]","[]","[]","","","","","","","","",""
"8905","0","","html-button-response","3","37062","0.0-3.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"36714","","","instructions","4","73777","0.0-4.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","[{""page_index"":0,""viewing_time"":20746},{""page_index"":1,""viewing_time"":7838},{""page_index"":2,""viewing_time"":8129}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","89836","0.0-5.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","90598","0.0-6.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","","","","","","",""
"3888","","","instructions","7","94487","0.0-7.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","[{""page_index"":0,""viewing_time"":3887}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","110500","0.0-8.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","111267","0.0-9.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","","","","","","",""
"7026","","","instructions","10","118296","0.0-10.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","[{""page_index"":0,""viewing_time"":4026},{""page_index"":1,""viewing_time"":3000}]","","","","","","",""
"4729","4","rating","canvas-keyboard-response","11","124040","0.0-11.0-0.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","136","57","113","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","12","124300","0.0-11.0-1.0","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","136","57","113","17","25","",""
"3280","2","rating","canvas-keyboard-response","13","127591","0.0-11.0-0.1","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","45","57","85","10","40","0",""
"null","null","clear_screen","canvas-keyboard-response","14","127850","0.0-11.0-1.1","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","45","57","85","10","40","",""
"1886","2","rating","canvas-keyboard-response","15","129751","0.0-11.0-0.2","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","67","85","85","10","40","1",""
"null","null","clear_screen","canvas-keyboard-response","16","130011","0.0-11.0-1.2","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","67","85","85","10","40","",""
"2497","7","rating","canvas-keyboard-response","17","132520","0.0-11.0-0.3","103","2022-3-22","14:37:5","1","20","[""Asian""]","No","Female","933398","","","","","","","","190","140","140","17","33","0",""
