"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"2590","{""response"":""100""}","enter-sub-number","survey-html-form","0","2601","0.0-0.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","","","","","","",""
"","","","fullscreen","1","5198","0.0-1.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","true","","","","","","","","","","","","",""
"","","","preload","2","5210","0.0-2.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","true","false","[]","[]","[]","","","","","","","","",""
"33850","0","","html-button-response","3","39061","0.0-3.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"40915","","","instructions","4","79981","0.0-4.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","[{""page_index"":0,""viewing_time"":22016},{""page_index"":1,""viewing_time"":9290},{""page_index"":2,""viewing_time"":9608}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","96000","0.0-5.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","96760","0.0-6.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","","","","","","",""
"2474","","","instructions","7","99237","0.0-7.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","[{""page_index"":0,""viewing_time"":2474}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","115252","0.0-8.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","116017","0.0-9.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","","","","","","",""
"12115","","","instructions","10","128133","0.0-10.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","[{""page_index"":0,""viewing_time"":6554},{""page_index"":1,""viewing_time"":5560}]","","","","","","",""
"10619","5","rating","canvas-keyboard-response","11","139766","0.0-11.0-0.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","15","30","30","10","33","0",""
"null","null","clear_screen","canvas-keyboard-response","12","140027","0.0-11.0-1.0","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","15","30","30","10","33","",""
"5397","7","rating","canvas-keyboard-response","13","145437","0.0-11.0-0.1","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","130","57","85","17","17","1",""
"null","null","clear_screen","canvas-keyboard-response","14","145697","0.0-11.0-1.1","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","130","57","85","17","17","",""
"6887","5","rating","canvas-keyboard-response","15","152598","0.0-11.0-0.2","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","84","113","113","10","33","1",""
"null","null","clear_screen","canvas-keyboard-response","16","152860","0.0-11.0-1.2","100","2022-3-9","13:45:23","0","21","[""Other""]","No","Female","1000786","","","","","","","","84","113","113","10","33","",""
