"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"2803","{""response"":""108""}","enter-sub-number","survey-html-form","0","2813","0.0-0.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","","","","","","",""
"","","","fullscreen","1","5352","0.0-1.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","true","","","","","","","","","","","","",""
"","","","preload","2","5369","0.0-2.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","true","false","[]","[]","[]","","","","","","","","",""
"12598","0","","html-button-response","3","17969","0.0-3.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"37354","","","instructions","4","55328","0.0-4.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","[{""page_index"":0,""viewing_time"":12474},{""page_index"":1,""viewing_time"":19527},{""page_index"":2,""viewing_time"":5352}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","71345","0.0-5.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","72112","0.0-6.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","","","","","","",""
"2740","","","instructions","7","74856","0.0-7.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","[{""page_index"":0,""viewing_time"":2740}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","90871","0.0-8.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","91637","0.0-9.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","","","","","","",""
"9177","","","instructions","10","100816","0.0-10.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","[{""page_index"":0,""viewing_time"":4520},{""page_index"":1,""viewing_time"":4657}]","","","","","","",""
"39867","7","rating","canvas-keyboard-response","11","141696","0.0-11.0-0.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","52","85","85","10","17","0",""
"null","null","clear_screen","canvas-keyboard-response","12","141956","0.0-11.0-1.0","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","52","85","85","10","17","",""
"6157","2","rating","canvas-keyboard-response","13","148128","0.0-11.0-0.1","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","202","30","85","25","33","0",""
"null","null","clear_screen","canvas-keyboard-response","14","148387","0.0-11.0-1.1","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","202","30","85","25","33","",""
"4463","5","rating","canvas-keyboard-response","15","152863","0.0-11.0-0.2","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","231","85","57","25","40","0",""
"null","null","clear_screen","canvas-keyboard-response","16","153123","0.0-11.0-1.2","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","231","85","57","25","40","",""
"4264","1","rating","canvas-keyboard-response","17","157399","0.0-11.0-0.3","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","56","85","57","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","18","157662","0.0-11.0-1.3","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","56","85","57","10","25","",""
"8436","5","rating","canvas-keyboard-response","19","166112","0.0-11.0-0.4","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","174","113","113","17","33","1",""
"null","null","clear_screen","canvas-keyboard-response","20","166373","0.0-11.0-1.4","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","174","113","113","17","33","",""
"1670","1","rating","canvas-keyboard-response","21","168055","0.0-11.0-0.5","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","31","57","113","10","17","0",""
"null","null","clear_screen","canvas-keyboard-response","22","168316","0.0-11.0-1.5","108","2022-3-25","14:36:53","0","20","[""White""]","No","Female","970395","","","","","","","","31","57","113","10","17","",""
