"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"6000","{""response"":""104""}","enter-sub-number","survey-html-form","0","6077","0.0-0.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","","","","","","",""
"","","","fullscreen","1","8472","0.0-1.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","true","","","","","","","","","","","","",""
"","","","preload","2","8500","0.0-2.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","true","false","[]","[]","[]","","","","","","","","",""
"15604","0","","html-button-response","3","24105","0.0-3.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"30263","","","instructions","4","54369","0.0-4.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","[{""page_index"":0,""viewing_time"":13727},{""page_index"":1,""viewing_time"":8072},{""page_index"":2,""viewing_time"":8464}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","70515","0.0-5.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","71272","0.0-6.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","","","","","","",""
"3503","","","instructions","7","74776","0.0-7.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","[{""page_index"":0,""viewing_time"":3503}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","90784","0.0-8.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","91538","0.0-9.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","","","","","","",""
"8054","","","instructions","10","99593","0.0-10.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","[{""page_index"":0,""viewing_time"":3062},{""page_index"":1,""viewing_time"":4992}]","","","","","","",""
"6298","7","rating","canvas-keyboard-response","11","106897","0.0-11.0-0.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","168","113","85","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","12","107152","0.0-11.0-1.0","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","168","113","85","17","25","",""
"18420","8","rating","canvas-keyboard-response","13","125576","0.0-11.0-0.1","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","134","57","57","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","14","125830","0.0-11.0-1.1","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","134","57","57","17","25","",""
"4965","8","rating","canvas-keyboard-response","15","130801","0.0-11.0-0.2","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","239","113","113","25","33","1",""
"null","null","clear_screen","canvas-keyboard-response","16","131058","0.0-11.0-1.2","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","239","113","113","25","33","",""
"7321","3","rating","canvas-keyboard-response","17","138385","0.0-11.0-0.3","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","46","57","113","10","40","0",""
"null","null","clear_screen","canvas-keyboard-response","18","138641","0.0-11.0-1.3","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","46","57","113","10","40","",""
"5034","3","rating","canvas-keyboard-response","19","143680","0.0-11.0-0.4","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","282","113","57","33","40","1",""
"null","null","clear_screen","canvas-keyboard-response","20","143935","0.0-11.0-1.4","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","282","113","57","33","40","",""
"8132","5","rating","canvas-keyboard-response","21","152073","0.0-11.0-0.5","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","26","57","113","10","10","0",""
"null","null","clear_screen","canvas-keyboard-response","22","152327","0.0-11.0-1.5","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","26","57","113","10","10","",""
"3843","5","rating","canvas-keyboard-response","23","156177","0.0-11.0-0.6","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","25","57","85","10","10","1",""
"null","null","clear_screen","canvas-keyboard-response","24","156432","0.0-11.0-1.6","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","25","57","85","10","10","",""
"5139","6","rating","canvas-keyboard-response","25","161577","0.0-11.0-0.7","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","110","140","140","10","40","1",""
"null","null","clear_screen","canvas-keyboard-response","26","161831","0.0-11.0-1.7","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","110","140","140","10","40","",""
"7524","4","rating","canvas-keyboard-response","27","169360","0.0-11.0-0.8","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","154","85","140","17","25","0",""
"null","null","clear_screen","canvas-keyboard-response","28","169614","0.0-11.0-1.8","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","154","85","140","17","25","",""
"17478","3","rating","canvas-keyboard-response","29","187097","0.0-11.0-0.9","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","64","85","140","10","33","0",""
"null","null","clear_screen","canvas-keyboard-response","30","187352","0.0-11.0-1.9","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","64","85","140","10","33","",""
"2924","4","rating","canvas-keyboard-response","31","190281","0.0-11.0-0.10","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","149","85","140","17","17","1",""
"null","null","clear_screen","canvas-keyboard-response","32","190536","0.0-11.0-1.10","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","149","85","140","17","17","",""
"3363","2","rating","canvas-keyboard-response","33","193905","0.0-11.0-0.11","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","187","140","57","17","33","1",""
"null","null","clear_screen","canvas-keyboard-response","34","194160","0.0-11.0-1.11","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","187","140","57","17","33","",""
"3652","2","rating","canvas-keyboard-response","35","197817","0.0-11.0-0.12","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","253","140","85","25","40","1",""
"null","null","clear_screen","canvas-keyboard-response","36","198071","0.0-11.0-1.12","104","2022-3-22","14:58:34","1","19","[""Asian"",""White""]","No","Female","1094727","","","","","","","","253","140","85","25","40","",""
