"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"3847008","{""response"":""117""}","enter-sub-number","survey-html-form","0","3847029","0.0-0.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","","","","","","",""
"","","","fullscreen","1","3851290","0.0-1.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","true","","","","","","","","","","","","",""
"","","","preload","2","3851304","0.0-2.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","true","false","[]","[]","[]","","","","","","","","",""
"92066","0","","html-button-response","3","3943371","0.0-3.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"26797","","","instructions","4","3970170","0.0-4.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","[{""page_index"":0,""viewing_time"":13004},{""page_index"":1,""viewing_time"":7353},{""page_index"":2,""viewing_time"":6440}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","3986183","0.0-5.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","3986943","0.0-6.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","","","","","","",""
"3418","","","instructions","7","3990361","0.0-7.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","[{""page_index"":0,""viewing_time"":3418}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","4006375","0.0-8.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","4007136","0.0-9.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","","","","","","",""
"2575","","","instructions","10","4009714","0.0-10.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","[{""page_index"":0,""viewing_time"":1447},{""page_index"":1,""viewing_time"":1128}]","","","","","","",""
"1555","1","rating","canvas-keyboard-response","11","4012281","0.0-11.0-0.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","182","140","57","17","25","1",""
"null","null","clear_screen","canvas-keyboard-response","12","4012542","0.0-11.0-1.0","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","182","140","57","17","25","",""
"2664","4","rating","canvas-keyboard-response","13","4015217","0.0-11.0-0.1","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","257","30","85","33","33","0",""
"null","null","clear_screen","canvas-keyboard-response","14","4015478","0.0-11.0-1.1","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","257","30","85","33","33","",""
"1933","3","rating","canvas-keyboard-response","15","4017426","0.0-11.0-0.2","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","197","30","85","25","25","0",""
"null","null","clear_screen","canvas-keyboard-response","16","4017689","0.0-11.0-1.2","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","197","30","85","25","25","",""
"2293","1","rating","canvas-keyboard-response","17","4019993","0.0-11.0-0.3","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","188","140","85","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","18","4020255","0.0-11.0-1.3","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","188","140","85","17","33","",""
"2710","3","rating","canvas-keyboard-response","19","4022977","0.0-11.0-0.4","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","6","30","57","10","17","0",""
"null","null","clear_screen","canvas-keyboard-response","20","4023235","0.0-11.0-1.4","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","6","30","57","10","17","",""
"4155","7","rating","canvas-keyboard-response","21","4027401","0.0-11.0-0.5","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","300","113","140","40","40","1",""
"null","null","clear_screen","canvas-keyboard-response","22","4027659","0.0-11.0-1.5","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","300","113","140","40","40","",""
"4160","6","rating","canvas-keyboard-response","23","4031833","0.0-11.0-0.6","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","1","30","57","10","10","0",""
"null","null","clear_screen","canvas-keyboard-response","24","4032094","0.0-11.0-1.6","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","1","30","57","10","10","",""
"3208","6","rating","canvas-keyboard-response","25","4035314","0.0-11.0-0.7","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","174","113","113","17","33","1",""
"null","null","clear_screen","canvas-keyboard-response","26","4035572","0.0-11.0-1.7","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","174","113","113","17","33","",""
"2643","8","rating","canvas-keyboard-response","27","4038225","0.0-11.0-0.8","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","270","57","85","33","40","1",""
"null","null","clear_screen","canvas-keyboard-response","28","4038484","0.0-11.0-1.8","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","270","57","85","33","40","",""
"2178","5","rating","canvas-keyboard-response","29","4040673","0.0-11.0-0.9","117","2022-4-4","10:45:58","1","19","[""White""]","No","Female","4805897","","","","","","","","288","140","85","33","40","0",""
