"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"302639","{""response"":""110""}","enter-sub-number","survey-html-form","0","302649","0.0-0.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","","","","","","",""
"","","","fullscreen","1","309151","0.0-1.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","true","","","","","","","","","","","","",""
"","","","preload","2","309186","0.0-2.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","true","false","[]","[]","[]","","","","","","","","",""
"7090","0","","html-button-response","3","316278","0.0-3.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"43125","","","instructions","4","359407","0.0-4.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","[{""page_index"":0,""viewing_time"":19092},{""page_index"":1,""viewing_time"":11937},{""page_index"":2,""viewing_time"":12095}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","375419","0.0-5.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","376178","0.0-6.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","","","","","","",""
"3155","","","instructions","7","379335","0.0-7.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","[{""page_index"":0,""viewing_time"":3155}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","395348","0.0-8.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","396112","0.0-9.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","","","","","","",""
"18373","","","instructions","10","414486","0.0-10.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","[{""page_index"":0,""viewing_time"":13005},{""page_index"":1,""viewing_time"":5368}]","","","","","","",""
"5956","1","rating","canvas-keyboard-response","11","421454","0.0-11.0-0.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","142","57","140","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","12","421714","0.0-11.0-1.0","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","142","57","140","17","33","",""
"10110","6","rating","canvas-keyboard-response","13","431837","0.0-11.0-0.1","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","210","57","85","25","25","1",""
"null","null","clear_screen","canvas-keyboard-response","14","432098","0.0-11.0-1.1","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","210","57","85","25","25","",""
"4921","2","rating","canvas-keyboard-response","15","437031","0.0-11.0-0.2","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","119","30","140","17","25","1",""
"null","null","clear_screen","canvas-keyboard-response","16","437290","0.0-11.0-1.2","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","119","30","140","17","25","",""
"6756","3","rating","canvas-keyboard-response","17","444062","0.0-11.0-0.3","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","80","113","140","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","18","444321","0.0-11.0-1.3","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","80","113","140","10","25","",""
"5010","8","rating","canvas-keyboard-response","19","449342","0.0-11.0-0.4","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","300","113","140","40","40","0",""
"null","null","clear_screen","canvas-keyboard-response","20","449603","0.0-11.0-1.4","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","300","113","140","40","40","",""
"3990","1","rating","canvas-keyboard-response","21","453605","0.0-11.0-0.5","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","19","30","140","10","33","1",""
"null","null","clear_screen","canvas-keyboard-response","22","453866","0.0-11.0-1.5","110","2022-3-28","12:49:33","1","19","[""White""]","No","Male","1412522","","","","","","","","19","30","140","10","33","",""
