"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"7034","{""response"":""119""}","enter-sub-number","survey-html-form","0","7063","0.0-0.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","","","","","","",""
"","","","fullscreen","1","9786","0.0-1.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","true","","","","","","","","","","","","",""
"","","","preload","2","9809","0.0-2.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","true","false","[]","[]","[]","","","","","","","","",""
"62359","0","","html-button-response","3","72170","0.0-3.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"49028","","","instructions","4","121201","0.0-4.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","[{""page_index"":0,""viewing_time"":26323},{""page_index"":1,""viewing_time"":15329},{""page_index"":2,""viewing_time"":7376}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","137217","0.0-5.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","137977","0.0-6.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","","","","","","",""
"7045","","","instructions","7","145024","0.0-7.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","[{""page_index"":0,""viewing_time"":7045}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","161039","0.0-8.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","161798","0.0-9.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","","","","","","",""
"18704","","","instructions","10","180504","0.0-10.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","[{""page_index"":0,""viewing_time"":5424},{""page_index"":1,""viewing_time"":13279}]","","","","","","",""
"5167","7","rating","canvas-keyboard-response","11","186686","0.0-11.0-0.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","4","30","140","10","10","1",""
"null","null","clear_screen","canvas-keyboard-response","12","186946","0.0-11.0-1.0","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","4","30","140","10","10","",""
"1911","5","rating","canvas-keyboard-response","13","188869","0.0-11.0-0.1","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","253","140","85","25","40","1",""
"null","null","clear_screen","canvas-keyboard-response","14","189129","0.0-11.0-1.1","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","253","140","85","25","40","",""
"4326","8","rating","canvas-keyboard-response","15","193469","0.0-11.0-0.2","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","256","30","57","33","33","0",""
"null","null","clear_screen","canvas-keyboard-response","16","193730","0.0-11.0-1.2","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","256","30","57","33","33","",""
"1865","3","rating","canvas-keyboard-response","17","195607","0.0-11.0-0.3","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","189","140","113","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","18","195865","0.0-11.0-1.3","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","189","140","113","17","33","",""
"2914","6","rating","canvas-keyboard-response","19","198790","0.0-11.0-0.4","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","288","140","85","33","40","1",""
"null","null","clear_screen","canvas-keyboard-response","20","199049","0.0-11.0-1.4","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","288","140","85","33","40","",""
"2408","5","rating","canvas-keyboard-response","21","201469","0.0-11.0-0.5","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","49","85","140","10","10","0",""
"null","null","clear_screen","canvas-keyboard-response","22","201729","0.0-11.0-1.5","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","49","85","140","10","10","",""
"1657","1","rating","canvas-keyboard-response","23","203397","0.0-11.0-0.6","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","110","140","140","10","40","1",""
"null","null","clear_screen","canvas-keyboard-response","24","203656","0.0-11.0-1.6","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","110","140","140","10","40","",""
"1050","1","rating","canvas-keyboard-response","25","204717","0.0-11.0-0.7","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","59","85","140","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","26","204981","0.0-11.0-1.7","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","59","85","140","10","25","",""
"2676","6","rating","canvas-keyboard-response","27","207669","0.0-11.0-0.8","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","229","85","140","25","33","0",""
"null","null","clear_screen","canvas-keyboard-response","28","207928","0.0-11.0-1.8","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","229","85","140","25","33","",""
"1986","8","rating","canvas-keyboard-response","29","209925","0.0-11.0-0.9","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","295","57","85","40","40","1",""
"null","null","clear_screen","canvas-keyboard-response","30","210186","0.0-11.0-1.9","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","295","57","85","40","40","",""
"2719","7","rating","canvas-keyboard-response","31","212918","0.0-11.0-0.10","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","196","30","57","25","25","0",""
"null","null","clear_screen","canvas-keyboard-response","32","213177","0.0-11.0-1.10","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","196","30","57","25","25","",""
"2138","1","rating","canvas-keyboard-response","33","215324","0.0-11.0-0.11","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","99","140","113","10","25","0",""
"null","null","clear_screen","canvas-keyboard-response","34","215585","0.0-11.0-1.11","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","99","140","113","10","25","",""
"1666","3","rating","canvas-keyboard-response","35","217261","0.0-11.0-0.12","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","184","140","113","17","25","1",""
"null","null","clear_screen","canvas-keyboard-response","36","217520","0.0-11.0-1.12","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","184","140","113","17","25","",""
"2473","1","rating","canvas-keyboard-response","37","220005","0.0-11.0-0.13","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","126","30","57","17","40","1",""
"null","null","clear_screen","canvas-keyboard-response","38","220263","0.0-11.0-1.13","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","126","30","57","17","40","",""
"2851","6","rating","canvas-keyboard-response","39","223124","0.0-11.0-0.14","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","226","85","57","25","33","0",""
"null","null","clear_screen","canvas-keyboard-response","40","223384","0.0-11.0-1.14","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","226","85","57","25","33","",""
"1467","3","rating","canvas-keyboard-response","41","224861","0.0-11.0-0.15","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","171","113","30","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","42","225119","0.0-11.0-1.15","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","171","113","30","17","33","",""
"1426","1","rating","canvas-keyboard-response","43","226557","0.0-11.0-0.16","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","76","113","30","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","44","226816","0.0-11.0-1.16","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","76","113","30","10","25","",""
"1410","1","rating","canvas-keyboard-response","45","228237","0.0-11.0-0.17","119","2022-4-7","9:24:8","0","19","[""Asian""]","No","Female","781898","","","","","","","","164","85","140","17","40","0",""
