"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"5881","{""response"":""107""}","enter-sub-number","survey-html-form","0","5995","0.0-0.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","","","","","","",""
"","","","fullscreen","1","8428","0.0-1.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","true","","","","","","","","","","","","",""
"","","","preload","2","8454","0.0-2.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","true","false","[]","[]","[]","","","","","","","","",""
"22156","0","","html-button-response","3","30617","0.0-3.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"37529","","","instructions","4","68148","0.0-4.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","[{""page_index"":0,""viewing_time"":13425},{""page_index"":1,""viewing_time"":9992},{""page_index"":2,""viewing_time"":14112}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","84180","0.0-5.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","84943","0.0-6.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","","","","","","",""
"2923","","","instructions","7","87867","0.0-7.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","[{""page_index"":0,""viewing_time"":2922}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","103881","0.0-8.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","104642","0.0-9.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","","","","","","",""
"7657","","","instructions","10","112300","0.0-10.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","[{""page_index"":0,""viewing_time"":3544},{""page_index"":1,""viewing_time"":4113}]","","","","","","",""
"6439","6","rating","canvas-keyboard-response","11","119754","0.0-11.0-0.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","130","57","85","17","17","1",""
"null","null","clear_screen","canvas-keyboard-response","12","120013","0.0-11.0-1.0","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","130","57","85","17","17","",""
"6481","9","rating","canvas-keyboard-response","13","126506","0.0-11.0-0.1","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","5","30","30","10","17","1",""
"null","null","clear_screen","canvas-keyboard-response","14","126764","0.0-11.0-1.1","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","5","30","30","10","17","",""
"1849","8","rating","canvas-keyboard-response","15","128625","0.0-11.0-0.2","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","190","140","140","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","16","128889","0.0-11.0-1.2","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","190","140","140","17","33","",""
"1660","1","rating","canvas-keyboard-response","17","130561","0.0-11.0-0.3","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","101","140","30","10","33","1",""
"null","null","clear_screen","canvas-keyboard-response","18","130821","0.0-11.0-1.3","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","101","140","30","10","33","",""
"3817","6","rating","canvas-keyboard-response","19","134650","0.0-11.0-0.4","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","180","113","140","17","40","0",""
"null","null","clear_screen","canvas-keyboard-response","20","134911","0.0-11.0-1.4","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","180","113","140","17","40","",""
"2581","4","rating","canvas-keyboard-response","21","137505","0.0-11.0-0.5","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","35","57","85","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","22","137765","0.0-11.0-1.5","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","35","57","85","10","25","",""
"2640","6","rating","canvas-keyboard-response","23","140417","0.0-11.0-0.6","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","293","30","113","40","40","0",""
"null","null","clear_screen","canvas-keyboard-response","24","140677","0.0-11.0-1.6","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","293","30","113","40","40","",""
"3045","8","rating","canvas-keyboard-response","25","143738","0.0-11.0-0.7","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","235","113","140","25","25","0",""
"null","null","clear_screen","canvas-keyboard-response","26","143998","0.0-11.0-1.7","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","235","113","140","25","25","",""
"2560","7","rating","canvas-keyboard-response","27","146569","0.0-11.0-0.8","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","31","57","113","10","17","1",""
"null","null","clear_screen","canvas-keyboard-response","28","146828","0.0-11.0-1.8","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","31","57","113","10","17","",""
"4217","7","rating","canvas-keyboard-response","29","151057","0.0-11.0-0.9","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","269","57","57","33","40","1",""
"null","null","clear_screen","canvas-keyboard-response","30","151317","0.0-11.0-1.9","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","269","57","57","33","40","",""
"2319","4","rating","canvas-keyboard-response","31","153649","0.0-11.0-0.10","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","151","85","57","17","25","1",""
"null","null","clear_screen","canvas-keyboard-response","32","153909","0.0-11.0-1.10","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","151","85","57","17","25","",""
"2279","3","rating","canvas-keyboard-response","33","156200","0.0-11.0-0.11","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","125","30","30","17","40","0",""
"null","null","clear_screen","canvas-keyboard-response","34","156460","0.0-11.0-1.11","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","125","30","30","17","40","",""
"2049","8","rating","canvas-keyboard-response","35","158521","0.0-11.0-0.12","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","289","140","113","33","40","0",""
"null","null","clear_screen","canvas-keyboard-response","36","158779","0.0-11.0-1.12","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","289","140","113","33","40","",""
"6763","5","rating","canvas-keyboard-response","37","165552","0.0-11.0-0.13","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","248","140","85","25","33","1",""
"null","null","clear_screen","canvas-keyboard-response","38","165811","0.0-11.0-1.13","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","248","140","85","25","33","",""
"3290","3","rating","canvas-keyboard-response","39","169114","0.0-11.0-0.14","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","92","140","57","10","17","0",""
"null","null","clear_screen","canvas-keyboard-response","40","169373","0.0-11.0-1.14","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","92","140","57","10","17","",""
"2678","6","rating","canvas-keyboard-response","41","172065","0.0-11.0-0.15","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","145","57","85","17","40","0",""
"null","null","clear_screen","canvas-keyboard-response","42","172324","0.0-11.0-1.15","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","145","57","85","17","40","",""
"5136","7","rating","canvas-keyboard-response","43","177473","0.0-11.0-0.16","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","26","57","113","10","10","1",""
"null","null","clear_screen","canvas-keyboard-response","44","177732","0.0-11.0-1.16","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","26","57","113","10","10","",""
"2185","4","rating","canvas-keyboard-response","45","179929","0.0-11.0-0.17","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","68","85","113","10","40","0",""
"null","null","clear_screen","canvas-keyboard-response","46","180188","0.0-11.0-1.17","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","68","85","113","10","40","",""
"5025","7","rating","canvas-keyboard-response","47","185225","0.0-11.0-0.18","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","148","85","113","17","17","1",""
"null","null","clear_screen","canvas-keyboard-response","48","185485","0.0-11.0-1.18","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","148","85","113","17","17","",""
"2136","6","rating","canvas-keyboard-response","49","187632","0.0-11.0-0.19","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","211","57","113","25","25","0",""
"null","null","clear_screen","canvas-keyboard-response","50","187892","0.0-11.0-1.19","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","211","57","113","25","25","",""
"2409","4","rating","canvas-keyboard-response","51","190312","0.0-11.0-0.20","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","39","57","57","10","33","0",""
"null","null","clear_screen","canvas-keyboard-response","52","190571","0.0-11.0-1.20","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","39","57","57","10","33","",""
"2018","4","rating","canvas-keyboard-response","53","192600","0.0-11.0-0.21","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","97","140","57","10","25","0",""
"null","null","clear_screen","canvas-keyboard-response","54","192860","0.0-11.0-1.21","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","97","140","57","10","25","",""
"866","4","rating","canvas-keyboard-response","55","193736","0.0-11.0-0.22","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","42","57","140","10","33","0",""
"null","null","clear_screen","canvas-keyboard-response","56","193996","0.0-11.0-1.22","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","42","57","140","10","33","",""
"3753","4","rating","canvas-keyboard-response","57","197761","0.0-11.0-0.23","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","242","113","57","25","40","1",""
"null","null","clear_screen","canvas-keyboard-response","58","198020","0.0-11.0-1.23","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","242","113","57","25","40","",""
"4552","3","rating","canvas-keyboard-response","59","202586","0.0-11.0-0.24","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","64","85","140","10","33","1",""
"null","null","clear_screen","canvas-keyboard-response","60","202849","0.0-11.0-1.24","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","64","85","140","10","33","",""
"1570","2","rating","canvas-keyboard-response","61","204432","0.0-11.0-0.25","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","132","57","140","17","17","0",""
"null","null","clear_screen","canvas-keyboard-response","62","204691","0.0-11.0-1.25","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","132","57","140","17","17","",""
"1281","2","rating","canvas-keyboard-response","63","205984","0.0-11.0-0.26","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","54","85","140","10","17","0",""
"null","null","clear_screen","canvas-keyboard-response","64","206244","0.0-11.0-1.26","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","54","85","140","10","17","",""
"1089","2","rating","canvas-keyboard-response","65","207344","0.0-11.0-0.27","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","40","57","85","10","33","0",""
"null","null","clear_screen","canvas-keyboard-response","66","207609","0.0-11.0-1.27","107","2022-3-25","13:59:2","1","18","[""White""]","No","Female","892804","","","","","","","","40","57","85","10","33","",""
