"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"3239","{""response"":""116""}","enter-sub-number","survey-html-form","0","3254","0.0-0.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","","","","","","","",""
"","","","fullscreen","1","5043","0.0-1.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","true","","","","","","","","","","","","",""
"","","","preload","2","5062","0.0-2.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","true","false","[]","[]","[]","","","","","","","","",""
"13584","0","","html-button-response","3","18647","0.0-3.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"242881","","","instructions","4","261532","0.0-4.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","[{""page_index"":0,""viewing_time"":229417},{""page_index"":1,""viewing_time"":3359},{""page_index"":2,""viewing_time"":10104}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","277553","0.0-5.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","278319","0.0-6.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","","","","","","","",""
"1652","","","instructions","7","279972","0.0-7.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","[{""page_index"":0,""viewing_time"":1652}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","295985","0.0-8.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","296748","0.0-9.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","","","","","","","",""
"5631","","","instructions","10","302380","0.0-10.0","116","2022-3-31","14:58:50","0","18","[""Asian""]","No","Female","840152","","","","","","","[{""page_index"":0,""viewing_time"":1918},{""page_index"":1,""viewing_time"":3713}]","","","","","","",""
