"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"3966","{""response"":""101""}","enter-sub-number","survey-html-form","0","3979","0.0-0.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","","","","","","","","",""
"","","","fullscreen","1","16870","0.0-1.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","true","","","","","","","","","","","","",""
"","","","preload","2","16888","0.0-2.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","true","false","[]","[]","[]","","","","","","","","",""
"5645","0","","html-button-response","3","22535","0.0-3.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"26980","","","instructions","4","49518","0.0-4.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","","[{""page_index"":0,""viewing_time"":12412},{""page_index"":1,""viewing_time"":12863},{""page_index"":2,""viewing_time"":1704}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","65529","0.0-5.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","66292","0.0-6.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","","","","","","","","",""
"3904","","","instructions","7","70198","0.0-7.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","","[{""page_index"":0,""viewing_time"":3904}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","86214","0.0-8.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","86977","0.0-9.0","101","2022-3-10","15:5:4","1","19","[""White""]","No","Female","812530","","","","","","","","","","","","","",""
