"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"20229","{""response"":""105""}","enter-sub-number","survey-html-form","0","20242","0.0-0.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","","","","","","","","",""
"","","","fullscreen","1","23419","0.0-1.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","true","","","","","","","","","","","","",""
"","","","preload","2","23440","0.0-2.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","true","false","[]","[]","[]","","","","","","","","",""
"139235","0","","html-button-response","3","162677","0.0-3.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"38385","","","instructions","4","201069","0.0-4.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","","[{""page_index"":0,""viewing_time"":11409},{""page_index"":1,""viewing_time"":15488},{""page_index"":2,""viewing_time"":11488}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","217086","0.0-5.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","217848","0.0-6.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","","","","","","","","",""
"1450","","","instructions","7","219300","0.0-7.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","","[{""page_index"":0,""viewing_time"":1450}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","235315","0.0-8.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","236076","0.0-9.0","105","2022-3-23","13:36:43","0","18","[""Asian"",""White""]","No","Female","1311493","","","","","","","","","","","","","",""
